"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1784942279922479421","Mon Apr 29 13:46:16 +0000 2024","0","yg ga premium dmn #AFCU23AsianCup #indonesiavsuzbekistan","1784942279922479421","","","in","","0","0","0","https://twitter.com/heyyowsiapa/status/1784942279922479421","1673602327306174464","heyyowsiapa"
"1784941958814744703","Mon Apr 29 13:45:00 +0000 2024","0","Tersedia 2 link siaran langsung Indonesia vs Uzbekistan semifinal Piala Asia U23 hari ini. Nonton gratis bisa di RCTI. #TimnasDay #TimnasIndonesiaU23 #TimnasU23 #timnasdaylive #Indonesia #indonesiaU23 #indonesiavsuzbekistan #AFCU23AsianCup #pialaasiau23 https://t.co/roaQkAxRXc","1784941958814744703","","","in","Yogyakarta","0","0","0","https://twitter.com/berita_diy/status/1784941958814744703","1287642738683342848","berita_diy"
"1784941809824915962","Mon Apr 29 13:44:24 +0000 2024","0","1 Kaki Sudah Di Paris Tinggal 1 Kaki Lagi Di Langkahin. Go 🇮🇩 Perawanin Usbekistan #TimnasDay #TimnasIndonesia #TimnasIndonesiaU23 #PialaAsiaU23 #indonesiavsuzbekistan #Indonesiajuara https://t.co/zKK8dwT5nU","1784941809824915962","https://pbs.twimg.com/media/GMVjHZkaQAAl7Ay.jpg","","in","","0","0","0","https://twitter.com/ProductionBmb/status/1784941809824915962","1671634108236328960","ProductionBmb"
"1784941353937535293","Mon Apr 29 13:42:36 +0000 2024","0","Yuk dukung Indonesia menang https://t.co/WDvCUm8XXG Jersey Timnas Indonesia https://t.co/4dldp8ih0a #TimnasDay #Nobar #indonesiavsuzbekistan #KIPK #IndonesiaEmas2045","1784941353937535293","","","in","","0","0","0","https://twitter.com/nulisyah4sr/status/1784941353937535293","1653777984531369986","nulisyah4sr"
"1784941163226751423","Mon Apr 29 13:41:50 +0000 2024","0","Posisi menentukan prestasi (Timnas). Wkwk #indonesiavsuzbekistan https://t.co/ITfQpaVaNp","1784941163226751423","https://pbs.twimg.com/media/GMVihcLacAAe-Fg.jpg","","in","Rovaniemi","0","1","0","https://twitter.com/arsalanhere/status/1784941163226751423","59965634","arsalanhere"
"1784941111062229311","Mon Apr 29 13:41:38 +0000 2024","0","Tiang Stainles Fleksibel Serbaguna Only 60k Cek disini #indonesiavsuzbekistan #viralvideo #hariini #QueenOfTears #SVT_THE_BEST_MAESTRO https://t.co/9I8cNRybsI","1784941111062229311","https://pbs.twimg.com/ext_tw_video_thumb/1784941076681576448/pu/img/aEd-ekGaR5ILwMJ6.jpg","","in","","0","0","0","https://twitter.com/msuuu1120/status/1784941111062229311","1745913663905800192","msuuu1120"
"1784940756005970084","Mon Apr 29 13:40:13 +0000 2024","0","Gaiisss inpo link Indonesia vs Uzbekistan #indonesiavsuzbekistan","1784940756005970084","","","in","Pekanbaru , Riau","0","0","0","https://twitter.com/mickropipet/status/1784940756005970084","1408292615372480515","mickropipet"
"1784940615001927683","Mon Apr 29 13:39:39 +0000 2024","0","Ayo Ayo Boaz Solossa Ayo Ayo Gonzales Cetak Gol Ke Gawang Uzbekistan !!! #TimnasDay #indonesiavsuzbekistan #GarudaMendunia","1784940615001927683","","","in","","0","0","0","https://twitter.com/MujahidMudo/status/1784940615001927683","1229783152115290112","MujahidMudo"
"1784940563537842683","Mon Apr 29 13:39:27 +0000 2024","1","LINK Live Streaming Indonesia Indonesia Vs Uzbekistan ️ Stadion Abdullah bin Khalifa Doha Qatar Pukul : 21 : 00 WIB Link Live Streaming: https://t.co/BTjXx4lHGe #RCTI #timnasday #timnasindonesia #indonesiavsuzbekistan #afcu23 #sananta #AFCU23AsianCup https://t.co/u7ALAv86vz","1784940563537842683","https://pbs.twimg.com/media/GMVh-YuaYAAyBOY.jpg","","in","jakarta","0","0","0","https://twitter.com/lingga_pur17370/status/1784940563537842683","1725173551597080576","lingga_pur17370"
"1784940368712359953","Mon Apr 29 13:38:41 +0000 2024","0","GES INGPOKAN NOBAR DAERAH JAKBAR GROGOL DONGGG #TimnasIndonesiaU23 #indonesiavsuzbekistan","1784940368712359953","","","in","","0","0","0","https://twitter.com/despashitoo/status/1784940368712359953","1159651309722595329","despashitoo"
"1784940272801190087","Mon Apr 29 13:38:18 +0000 2024","0","Live Streaming Timnas Indonesia PIALA ASIA AFC U-23 Indonesia Vs Uzbekistan ️ Stadion Abdullah bin Khalifa Doha Qatar Pukul : 21 : 00 WIB. Link Live Streaming: https://t.co/BTjXx4lHGe #RCTI #timnasday #timnasindonesia #indonesiavsuzbekistan #afcu23 #sananta https://t.co/ZxZDSDm7IR","1784940272801190087","https://pbs.twimg.com/media/GMVhpkZaoAAh_ie.jpg","","in","jakarta","0","0","0","https://twitter.com/lingga_pur17370/status/1784940272801190087","1725173551597080576","lingga_pur17370"
"1784940010359410806","Mon Apr 29 13:37:15 +0000 2024","0","Go go Indonesia🇮🇩 #indonesiavsuzbekistan","1784940010359410806","","","in","","0","0","0","https://twitter.com/ThreadShopeeng/status/1784940010359410806","1499209350195605504","ThreadShopeeng"
"1784939653327737125","Mon Apr 29 13:35:50 +0000 2024","0","Kalo kata gw sih INDONESIA bakalan Lolos ke final. Karena pemasukan untuk tuan rumah dari suporter INDONESIA bagus Cuan nya. Welcome indonesia to Olimpiade Paris-Prancis. #indonesiavsuzbekistan #TimnasDay #AFCU23AsianCup #rcti #Indonesia","1784939653327737125","","","in","","0","0","0","https://twitter.com/QitingSoepri/status/1784939653327737125","1623094876849192960","QitingSoepri"
"1784938796464898450","Mon Apr 29 13:32:26 +0000 2024","0","Yang nonton di stadion request dong tolong nyanyiin lagunya bunda corla #STYTerbaik #indonesiavsuzbekistan","1784938796464898450","","","in","ÜT: -6.243836,106 .96222","0","0","0","https://twitter.com/r_yudi_69/status/1784938796464898450","172427134","r_yudi_69"
"1784938618404114890","Mon Apr 29 13:31:43 +0000 2024","0","All in Indonesia 🇲🇨 . . . 3-1 #TimnasDay #TimnasIndonesia #indonesiavsuzbekistan #indonesiamenang #TimnasU23","1784938618404114890","","","in","","0","0","0","https://twitter.com/ZakaMarzuki/status/1784938618404114890","1383018072747823104","ZakaMarzuki"
"1784938514293121074","Mon Apr 29 13:31:19 +0000 2024","0","Gas kan Buat sejarah baru untuk indonesia!!! Bungkam mulut @BungTowel #TimnasDay #indonesiavsuzbekistan https://t.co/RgOBFWD9oy","1784938514293121074","https://pbs.twimg.com/media/GMVgHoaasAA98vu.jpg","","in","Kota Malang","0","0","0","https://twitter.com/ahyarabdullah1/status/1784938514293121074","628706259","ahyarabdullah1"
"1784938364225089890","Mon Apr 29 13:30:43 +0000 2024","0","Camilan kopi rokok ready for #indonesiavsuzbekistan","1784938364225089890","","","in","","0","0","0","https://twitter.com/adetya_089/status/1784938364225089890","861146336","adetya_089"
"1784938294192783837","Mon Apr 29 13:30:26 +0000 2024","0","ada yang pernh nyobain ....??? #QueenOfTearsEp16 #viralvideo #indonesiavsuzbekistan #SEVENTEEN https://t.co/20sMVXNNil","1784938294192783837","","","in","Mataram, Indonesia","0","0","0","https://twitter.com/apajanihdsini/status/1784938294192783837","992214096064872448","apajanihdsini"
"1784885405281575236","Mon Apr 29 13:30:13 +0000 2024","0","@Qatar2023en INDONESIA🇮🇩 the winner!! semangat!!! #Indonesiachampion #indonesiavsuzbekistan","1784938238010101909","","Qatar2023en","in","Jakarta","0","0","0","https://twitter.com/ronaldferdynand/status/1784938238010101909","174525352","ronaldferdynand"
"1784938185946182041","Mon Apr 29 13:30:00 +0000 2024","0","Timnas Indonesia vs Uzbekistan semifinal Piala Asia U23 hari ini link live streaming dan jadwal siaran langsung gratis RCTI pukul 21.00 WIB. #TimnasDay #Timnas #TimnasIndonesia #TimnasIndonesiaU23 #TimnasU23 #indonesiavsuzbekistan #indonesiaU23 https://t.co/HxgX8NrReC","1784938185946182041","","","in","Indonesia","0","0","0","https://twitter.com/TrenEkonomi/status/1784938185946182041","1589872186017259520","TrenEkonomi"
"1784938008116109391","Mon Apr 29 13:29:18 +0000 2024","7","Tidak kebagian tiket hanya didepan kebon orang... #indonesiavsuzbekistan 🇮🇩 https://t.co/FKgiQO80q5","1784938008116109391","https://pbs.twimg.com/media/GMVfqKqasAAU0kq.jpg","","in","Milan, Lombardy","0","1","0","https://twitter.com/ilbanditomilano/status/1784938008116109391","1255548512936157184","ilbanditomilano"
"1784937982920978750","Mon Apr 29 13:29:12 +0000 2024","0","Contoh susunan Acara NOBAR Kali ini : 1. Pembukaan 2.SAMBUTAN - SAMBUTAN a. Sambutan Bupati b. Wakil bupati c. Camat d. Dandim e. Kapolres 3. Kick off 4. Penutup Terimakasih #TimnasDay #TimnasIndonesiaU23 #nobar #indonesiavsuzbekistan","1784937982920978750","","","in","","0","0","0","https://twitter.com/Kangzeters/status/1784937982920978750","1576345825092853760","Kangzeters"
"1784937649297584594","Mon Apr 29 13:27:52 +0000 2024","0","🇮🇩 INDONESIA! Menurut prediksi Sahabat Ikhbar apakah Indonesia mampu maju ke babak final Piala Asia U-23? #TimnasDay #AFCU23AsianCup #AsianCupU23 #PialaAsiaU23 #IndonesiaVsUzbekistan #Nobar","1784937649297584594","","","in","","0","0","0","https://twitter.com/ikhbarcom/status/1784937649297584594","1643986407336341514","ikhbarcom"
"1784921566104748064","Mon Apr 29 13:27:43 +0000 2024","1","@idextratime Sudah penuh #indonesiavsuzbekistan https://t.co/ZfTU3aOYOR","1784937609820774869","https://pbs.twimg.com/media/GMVfSr2bwAAsqAW.jpg","idextratime","in","Bandung, Jawa Barat","0","0","0","https://twitter.com/kosong_lara/status/1784937609820774869","341082428","kosong_lara"
"1784930276919120025","Mon Apr 29 13:27:40 +0000 2024","11","Yel² nya di bagiin Mantappp #TimnasDay #indonesiavsuzbekistan #nobar indonesia 2-1 uzbekistan #AsianCupU23 https://t.co/6rbJZEDx4G","1784937599830044722","https://pbs.twimg.com/media/GMVfSY5aoAAKIEv.jpg","jumintenkoplak","in","City Hopper, Travelholic","0","0","0","https://twitter.com/jumintenkoplak/status/1784937599830044722","280814251","jumintenkoplak"
"1784937295684264047","Mon Apr 29 13:26:28 +0000 2024","0","Info link streaming indo vs uzbek dong Gapapa pake vpn Aku nyoba app rcti+ error deh Drop link below please #AFCAsianCup2024 #AFCU23 #nobar #indonesiavsuzbekistan","1784937295684264047","","","in","Semarang, Indonesia","0","0","0","https://twitter.com/limeminteaa/status/1784937295684264047","364864130","limeminteaa"
"1784930276919120025","Mon Apr 29 13:23:06 +0000 2024","23","Uda mulai pemanasan Yok bismillah yoooook Bole aku minta doanya bareng² disini Kita bisa masuk final #TimnasDay #indonesiavsuzbekistan #nobar indonesia 2-1 uzbekistan #AsianCupU23 https://t.co/SbzILHz1z4","1784936449005191412","https://pbs.twimg.com/ext_tw_video_thumb/1784936236341444608/pu/img/M--qq3-Yx39cSYtQ.jpg","jumintenkoplak","in","City Hopper, Travelholic","0","4","5","https://twitter.com/jumintenkoplak/status/1784936449005191412","280814251","jumintenkoplak"
